size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,9,0.00890207290649414,3,2,1.4444444444444444,13
9,42,0.24097108840942383,8,3,2.0238095238095237,85
16,125,2.6138088703155518,15,5,2.744,343
25,282,17.04125213623047,24,6,3.379432624113475,953
36,559,83.88390398025513,35,7,4.062611806797853,2271
49,976,317.3042039871216,48,8,4.628073770491803,4517
64,1569,1023.0446238517761,63,9,5.326959847036329,8358
81,2383,2862.7634778022766,80,11,5.947545111204365,14173
