size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,9,0.010605096817016602,3,2,1.5555555555555556,14
9,42,0.22388100624084473,8,3,2.142857142857143,90
16,125,2.085690975189209,15,5,3.008,376
25,282,12.050372123718262,24,5,3.5673758865248226,1006
36,559,48.86549401283264,35,7,4.384615384615385,2451
49,976,160.89679503440857,48,7,4.918032786885246,4800
64,1569,449.66151690483093,63,11,6.608667941363926,10369
81,2383,1109.4507761001587,80,12,7.069240453210239,16846
100,3571,2619.481612920761,99,12,7.780453654438532,27784
