size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,9,0.029797077178955078,4,3,1.4444444444444444,13
9,42,0.3784449100494385,5,5,2.5238095238095237,106
16,125,2.474998950958252,5,7,3.68,460
25,282,13.538848161697388,6,8,3.9326241134751774,1109
36,559,51.71124005317688,6,11,5.76386404293381,3222
49,976,169.54622220993042,7,13,6.515368852459017,6359
64,1569,467.8760268688202,7,13,6.97068196303378,10937
81,2383,1144.3500320911407,8,15,7.863617289131347,18739
100,3571,3258.2000601291656,8,17,8.839260711285354,31565
