size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,6,0.03145098686218262,2,2,1.5,9
9,22,0.24130010604858398,3,5,3.0454545454545454,67
16,37,2.555068016052246,5,7,3.918918918918919,145
25,60,7.336416959762573,6,7,4.4,264
36,76,23.666231870651245,6,10,5.2631578947368425,400
49,86,38.573338985443115,6,11,6.569767441860465,565
64,113,90.224524974823,7,11,7.04424778761062,796
81,123,176.1136510372162,7,14,8.601626016260163,1058
100,145,289.74167490005493,7,15,9.682758620689656,1404
