size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,6,0.03201603889465332,3,2,1.5,9
9,22,0.49163818359375,8,5,2.3636363636363638,52
16,37,1.9969360828399658,15,4,2.864864864864865,106
25,60,12.189028024673462,24,6,3.4833333333333334,209
36,76,42.84574103355408,35,9,4.526315789473684,344
49,86,107.14049291610718,48,7,4.174418604651163,359
64,113,306.3120610713959,63,9,5.0265486725663715,568
81,123,575.2063038349152,80,11,6.2682926829268295,771
100,145,1250.480064868927,99,12,6.586206896551724,955
