size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,6,0.023433923721313477,3,2,1.1666666666666667,7
9,36,0.5776979923248291,4,5,2.4444444444444446,88
16,120,4.598955154418945,4,6,3.3666666666666667,404
25,300,28.886262893676758,6,10,5.166666666666667,1550
36,630,140.01951599121094,7,11,5.882539682539683,3706
49,1174,417.1611201763153,6,13,6.666098807495741,7826
64,2010,1276.6279110908508,7,14,8.072139303482587,16225
81,3236,3896.109519958496,7,14,8.083436341161928,26158
100,4948,9054.29848909378,7,16,9.313257881972515,46082
