size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,6,0.014662981033325195,3,1,0.6666666666666666,4
9,36,0.3984639644622803,8,3,2.3055555555555554,83
16,120,4.1808929443359375,15,5,3.0083333333333333,361
25,300,26.805408000946045,24,6,3.8933333333333335,1168
36,630,118.96592998504639,35,7,4.380952380952381,2760
49,1174,389.1892020702362,48,9,5.5374787052810905,6501
64,2010,1172.82426404953,63,10,6.383084577114428,12830
81,3236,2975.6841881275177,80,12,7.183250927070457,23245
100,4948,7121.102337837219,99,15,8.478577202910266,41952
