size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,6,0.0053980350494384766,3,2,1.3333333333333333,8
9,22,0.12451982498168945,8,3,1.9545454545454546,43
16,38,0.811413049697876,15,4,2.5,95
25,63,3.832533836364746,24,5,3.1904761904761907,201
36,74,10.920835018157959,35,6,3.689189189189189,273
49,92,29.91054606437683,48,6,4.3478260869565215,400
64,111,74.85342192649841,63,8,4.675675675675675,519
81,119,153.0569350719452,80,7,4.949579831932773,589
100,141,312.52140402793884,99,8,5.716312056737588,806
