size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,6,0.010759115219116211,2,2,1.5,9
9,22,0.1296839714050293,3,4,2.1818181818181817,48
16,38,0.7666380405426025,5,6,3.8947368421052633,148
25,63,2.897296190261841,5,7,3.9206349206349205,247
36,74,6.998095989227295,6,10,5.945945945945946,440
49,92,16.17853093147278,7,11,6.391304347826087,588
64,111,32.46445107460022,6,12,7.7657657657657655,862
81,119,56.291285037994385,8,15,8.126050420168067,967
100,141,101.89051699638367,8,17,9.709219858156029,1369
