size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,6,0.01096487045288086,3,2,1.5,9
9,22,0.15620803833007812,8,3,2.0454545454545454,45
16,38,0.9302699565887451,15,4,2.6842105263157894,102
25,63,4.4234771728515625,24,5,3.2698412698412698,206
36,74,12.661192178726196,35,7,4.283783783783784,317
49,92,36.58781695365906,48,10,5.228260869565218,481
64,111,92.61084198951721,63,11,5.7657657657657655,640
81,119,191.44279384613037,80,12,5.9411764705882355,707
100,141,415.6061198711395,99,12,6.6879432624113475,943
