size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,6,0.007718086242675781,3,2,1.3333333333333333,8
9,22,0.1133880615234375,8,3,2.1818181818181817,48
16,38,0.6467239856719971,15,5,3.0,114
25,63,2.685476064682007,24,5,3.2063492063492065,202
36,74,6.5874810218811035,35,6,4.445945945945946,329
49,92,15.229204893112183,48,9,5.630434782608695,518
64,111,32.23743987083435,63,9,6.216216216216216,690
81,119,55.875560998916626,80,11,7.4789915966386555,890
100,141,105.59664607048035,99,12,8.22695035460993,1160
