size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,6,0.0066111087799072266,3,2,1.1666666666666667,7
9,36,0.18067693710327148,8,4,2.4166666666666665,87
16,120,1.9959781169891357,15,5,2.816666666666667,338
25,300,12.453473091125488,24,6,3.7266666666666666,1118
36,628,54.52081298828125,35,8,4.984076433121019,3130
49,1176,191.87040305137634,48,9,5.318027210884353,6254
64,2016,570.0670938491821,63,10,6.036706349206349,12170
81,3238,1495.272535085678,80,10,6.742433600988265,21832
100,4946,3621.1368470191956,99,16,8.97513141932875,44391
