size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,6,0.009830951690673828,3,2,1.3333333333333333,8
9,36,0.22885799407958984,8,5,2.6666666666666665,96
16,120,2.7296359539031982,15,7,3.0416666666666665,365
25,300,19.793553829193115,24,8,4.213333333333333,1264
36,628,109.46094012260437,35,12,5.382165605095541,3380
49,1176,455.74365496635437,48,11,5.399659863945578,6350
64,2016,1656.9301590919495,63,13,6.861607142857143,13833
81,3238,5451.53235411644,80,12,6.5080296479308215,21073
