size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,6,0.0049479007720947266,3,2,1.0,6
9,36,0.2029271125793457,8,4,2.0833333333333335,75
16,120,2.5330810546875,15,5,2.658333333333333,319
25,300,18.465399980545044,24,6,3.433333333333333,1030
36,628,97.74084186553955,35,8,4.159235668789809,2612
49,1176,384.8222291469574,48,9,4.72108843537415,5552
64,2016,1318.1045231819153,63,10,5.538194444444445,11165
81,3238,4089.7716879844666,80,10,6.1297096973440395,19848
