4,9,0.0203158855438,3,3,1.66666666667,15
5,14,0.039393901825,4,3,2.07142857143,29
6,19,0.0606489181519,4,3,2.05263157895,39
7,26,0.109397888184,4,5,2.38461538462,62
8,35,0.161259889603,3,4,2.42857142857,85
9,41,0.259290933609,4,5,2.80487804878,115
10,50,0.376742124557,4,6,2.78,139
11,63,0.554538011551,4,7,2.77777777778,175
12,66,0.712117195129,4,6,2.68181818182,177
13,81,0.987747907639,5,5,3.04938271605,247
14,98,1.41447615623,5,7,3.52040816327,345
15,108,1.69233393669,4,8,3.25,351
16,119,2.17778086662,6,8,3.65546218487,435
17,131,2.58479189873,5,10,3.83969465649,503
18,148,3.37993907928,5,8,3.83783783784,568
19,167,4.26061701775,4,7,3.46706586826,579
20,188,5.17367720604,6,6,3.79787234043,714
21,194,5.99230194092,7,9,4.17525773196,810
22,213,7.06737279892,5,9,3.76995305164,803
23,218,7.98093485832,5,11,5.05963302752,1103
24,249,9.72350597382,5,8,4.22088353414,1051
25,273,11.8591461182,6,9,4.55677655678,1244
26,290,13.4920229912,5,8,4.05862068966,1177
27,315,16.042981863,6,9,4.73650793651,1492
28,327,17.4993050098,6,9,4.44342507645,1453
29,362,20.9554460049,6,9,4.92541436464,1783
30,369,22.6929161549,7,8,4.44986449864,1642
31,399,27.3717441559,6,9,5.10526315789,2037
32,402,28.6023340225,6,10,4.95771144279,1993
33,448,36.636826992,6,10,4.703125,2107
34,477,37.6338210106,7,9,4.89098532495,2333
35,490,41.5187568665,7,12,5.04897959184,2474
36,509,47.0284190178,6,10,4.90766208251,2498
37,537,50.6281139851,6,10,4.61080074488,2476
38,568,58.5349049568,6,12,5.3485915493,3038
39,590,64.120980978,6,12,5.59830508475,3303
40,634,71.5486030579,7,12,5.8880126183,3733
41,660,76.1420660019,6,11,6.02272727273,3975
42,665,80.5934419632,7,11,5.84210526316,3885
43,736,93.9041070938,6,12,6.30570652174,4641
44,733,98.0415291786,7,11,5.83901773533,4280
45,757,104.916404009,7,12,5.80317040951,4393
46,813,118.746691942,6,15,6.0295202952,4902
47,852,130.198739052,7,14,5.91431924883,5039
48,858,134.322027922,6,13,6.20396270396,5323
49,920,156.29440403,7,12,6.10760869565,5619
50,953,169.581570864,6,13,6.49317943337,6188
51,981,187.896864891,8,14,6.02344546381,5909
52,1043,211.410590887,7,12,6.2070949185,6474
53,1057,211.138263226,7,13,5.98959318827,6331
54,1060,220.004688025,6,14,6.65377358491,7053
55,1108,248.942679882,6,12,5.75902527076,6381
56,1120,251.217767954,6,14,6.74464285714,7554
57,1191,284.632925034,7,14,6.5583543241,7811
58,1227,312.787078142,7,13,6.42216788916,7880
59,1264,314.782418013,6,15,6.47626582278,8186
60,1320,352.289932966,7,13,6.74090909091,8898
61,1310,353.217912197,6,13,6.48015267176,8489
62,1435,391.990144014,5,14,7.17491289199,10296
63,1417,415.823122025,6,14,6.4495412844,9139
64,1482,449.205596209,7,13,6.71052631579,9945
65,1518,471.730116129,7,14,7.19631093544,10924
66,1563,503.376946926,7,14,7.26551503519,11356
67,1625,537.500710011,7,14,7.29907692308,11861
68,1641,560.820113897,7,16,7.16940889701,11765
69,1724,605.358247995,7,13,7.17285382831,12366
70,1760,640.430334091,8,16,7.55397727273,13295
71,1764,705.998310089,7,12,6.63605442177,11706
72,1860,723.649023056,7,16,7.49677419355,13944
73,1848,801.0982759,7,15,7.40151515152,13678
74,1931,800.601443052,7,14,7.54790264112,14575
75,1956,891.429219961,7,16,7.05214723926,13794
76,2039,908.750160933,7,18,7.91172143207,16132
77,2083,952.196474075,7,17,7.83101296207,16312
78,2114,1001.70710993,8,15,7.40302743614,15650
79,2187,1080.43800688,8,15,7.59807956104,16617
80,2201,1088.16569304,7,17,7.50749659246,16524
81,2289,1182.70933294,7,16,7.93403232853,18161
82,2377,1283.01199198,7,15,7.63904080774,18158
83,2403,1349.84056091,8,19,8.32792342905,20012
84,2433,1430.42223597,8,15,7.41348129881,18037
85,2550,1498.93723392,7,15,7.87137254902,20072
86,2545,1540.14071393,7,16,7.99489194499,20347
87,2611,1740.04864883,8,16,7.48678667177,19548
88,2622,1690.44050288,8,16,8.28527841342,21724
89,2727,1735.70088816,8,15,8.0762742941,22024
90,2843,1910.15257096,7,15,8.03447062962,22842
91,2875,2096.44075489,7,17,8.256,23736
92,2922,2111.17717314,8,16,7.84394250513,22920
93,2991,2247.91041422,8,19,8.49448345035,25407
94,3057,2329.71285701,8,15,7.80274779195,23853
95,3132,2365.97174406,8,15,8.01021711367,25088
96,3091,2537.60824084,7,17,8.39081203494,25936
97,3208,2651.24451184,8,17,8.52150872818,27337
98,3279,2803.26542997,8,16,8.46355596218,27752
99,3378,2997.324929,7,19,8.68531675548,29339
100,3393,3065.79106283,8,17,7.95372826407,26987
