4,9,0.0374519824982,4,2,1.44444444444,13
9,41,0.246263027191,4,5,2.48780487805,102
16,123,2.25898504257,5,6,3.64227642276,448
25,284,11.8326778412,5,10,4.28521126761,1217
36,552,50.7992098331,6,11,5.52717391304,3051
49,974,160.606021881,6,12,6.01026694045,5854
64,1551,458.997024059,7,13,7.41779497099,11505
81,2367,1204.90867591,7,17,8.64892268695,20472
100,3512,3227.10860491,8,19,8.82232346241,30984
