size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,9,0.01139688491821289,2,2,1.5555555555555556,14
9,42,0.30406785011291504,4,4,2.4047619047619047,101
16,124,2.787403106689453,5,7,3.282258064516129,407
25,279,13.644203186035156,6,8,4.39426523297491,1226
36,559,59.230693101882935,7,10,5.579606440071556,3119
49,973,253.0341169834137,6,13,6.451181911613566,6277
64,1553,458.762060880661,7,14,7.4964584674822925,11642
81,2398,2197.925684928894,7,14,8.108423686405338,19444
100,3560,7769.61954498291,8,17,8.817977528089887,31392
