size of point set,size of line set,CPU time in seconds,iterations,crossing number,average crossing number,crossing overall
4,9,0.008923053741455078,3,2,1.3333333333333333,12
9,42,0.24892711639404297,8,3,1.9523809523809523,82
16,124,2.825590133666992,15,5,2.7338709677419355,339
25,279,18.045845985412598,24,6,3.3440860215053765,933
36,559,96.1976249217987,35,6,3.9838998211091234,2227
49,973,449.5491797924042,48,8,4.683453237410072,4557
64,1553,1292.7047908306122,63,9,5.336767546683838,8288
81,2398,3238.510547876358,80,10,6.028773978315263,14457
